Название продукта	Содержание магния в 100гр	Процент суточной потребности магния
Абрикос	8 мг	2%
Авокадо	29 мг	7%
Айва	14 мг	4%
Алыча	21 мг	5%
Ананас	11 мг	3%
Апельсин	13 мг	3%
Арбуз	12 мг	3%
Банан	42 мг	11%
Брусника	7 мг	2%
Виноград	17 мг	4%
Вишня	26 мг	7%
Голубика	7 мг	2%
Грейпфрут	10 мг	3%
Груша	12 мг	3%
Дуриан	30 мг	8%
Дыня	13 мг	3%
Ежевика	29 мг	7%
Земляника	18 мг	5%
Киви	25 мг	6%
Клюква	15 мг	4%
Крыжовник	9 мг	2%
Лимон	12 мг	3%
Малина	22 мг	6%
Манго	10 мг	3%
Мандарин	11 мг	3%
Морошка	29 мг	7%
Нектарин	9 мг	2%
Облепиха	30 мг	8%
Папайя	21 мг	5%
Персик	16 мг	4%
Помело	6 мг	2%
Рябина красная	33 мг	8%
Рябина черноплодная	14 мг	4%
Слива	9 мг	2%
Смородина белая	9 мг	2%
Смородина красная	17 мг	4%
Смородина чёрная	31 мг	8%
Фейхоа	9 мг	2%
Хурма	56 мг	14%
Черешня	24 мг	6%
Черника	6 мг	2%
Шиповник	8 мг	2%
Яблоки	9 мг	2%
