Название продукта	Содержание магния в 100гр	Процент суточной потребности магния
Горох (лущеный)	88 мг	22%
Горох зелёный (свежий)	38 мг	10%
Гречиха (зерно)	258 мг	65%
Каша гречневая (из крупы ядрица)	67 мг	17%
Крупа гречневая (продел)	150 мг	38%
Крупа гречневая (ядрица)	200 мг	50%
Крупа кукурузная	30 мг	8%
Крупа манная	18 мг	5%
Крупа овсяная	116 мг	29%
Крупа перловая	40 мг	10%
Крупа пшеничная	60 мг	15%
Крупа пшено (шлифованное)	83 мг	21%
Крупа рисовая	50 мг	13%
Крупа ячневая	50 мг	13%
Кукуруза (консервы)	13 мг	3%
Кукуруза сладкая	37 мг	9%
Макароны из муки 1 сорта	45 мг	11%
Макароны из муки в/с	76 мг	19%
Маш	174 мг	44%
Мука гречневая	251 мг	63%
Мука кукурузная	30 мг	8%
Мука овсяная	110 мг	28%
Мука овсяная (толокно)	111 мг	28%
Мука пшеничная 1 сорта	44 мг	11%
Мука пшеничная 2 сорта	73 мг	18%
Мука пшеничная в/с	16 мг	4%
Мука пшеничная обойная	94 мг	24%
Мука ржаная обдирная	60 мг	15%
Мука ржаная обойная	75 мг	19%
Мука ржаная сеяная	25 мг	6%
Мука рисовая	30 мг	8%
Нут	126 мг	32%
Овёс (зерно)	135 мг	34%
Отруби овсяные	235 мг	59%
Отруби пшеничные	448 мг	112%
Пшеница (зерно, мягкий сорт)	108 мг	27%
Пшеница (зерно, твердый сорт)	114 мг	29%
Рис (зерно)	116 мг	29%
Рожь (зерно)	120 мг	30%
Соя (зерно)	226 мг	57%
Фасоль (зерно)	103 мг	26%
Фасоль (стручковая)	26 мг	7%
Хлеб бородинский	49 мг	12%
Хлеб пшеничный (из муки 1 сорта)	33 мг	8%
Хлеб пшеничный (из муки в/с)	14 мг	4%
Хлеб пшеничный (из обойной муки)	47 мг	12%
Хлеб рижский	25 мг	6%
Хлеб цельнозерновой	82 мг	21%
Хлопья овсяные "Геркулес"	129 мг	32%
Чечевица (зерно)	80 мг	20%
Ячмень (зерно)	150 мг	38%
