Название продукта	Содержание калия в 100гр	Процент суточной потребности калия
Абрикос	305 мг	12%
Авокадо	485 мг	19%
Айва	144 мг	6%
Алыча	188 мг	8%
Ананас	321 мг	13%
Апельсин	197 мг	8%
Арбуз	110 мг	4%
Банан	348 мг	14%
Брусника	90 мг	4%
Виноград	225 мг	9%
Вишня	256 мг	10%
Голубика	51 мг	2%
Гранат	150 мг	6%
Грейпфрут	184 мг	7%
Груша	155 мг	6%
Дуриан	436 мг	17%
Дыня	118 мг	5%
Ежевика	208 мг	8%
Земляника	161 мг	6%
Киви	300 мг	12%
Клюква	119 мг	5%
Крыжовник	260 мг	10%
Лимон	163 мг	7%
Малина	224 мг	9%
Манго	168 мг	7%
Мандарин	155 мг	6%
Морошка	180 мг	7%
Нектарин	201 мг	8%
Облепиха	193 мг	8%
Папайя	182 мг	7%
Персик	363 мг	15%
Помело	216 мг	9%
Рябина красная	230 мг	9%
Рябина черноплодная	158 мг	6%
Слива	214 мг	9%
Смородина белая	270 мг	11%
Смородина красная	275 мг	11%
Смородина чёрная	350 мг	14%
Фейхоа	172 мг	7%
Хурма	200 мг	8%
Черешня	233 мг	9%
Черника	51 мг	2%
Шиповник	23 мг	1%
Яблоки	278 мг	11%
