Название продукта,Содержание калия в 100гр,Процент суточной потребности калия
Грибы белые сушёные,3937,157
Курага,1717,69
Соя (зерно),1607,64
Какао порошок,1509,60
Отруби пшеничные,1260,50
Молоко сухое нежирное,1224,49
Молоко сухое 25,1200,48
Фасоль (зерно),1100,44
Фисташки,1025,41
Молоко сухое 15,1010,40
Маш,1000,40
Морская капуста,970,39
Нут,968,39
Чернослив,864,35
Изюм,830,33
Петрушка (зелень),800,32
Шпинат (зелень),774,31
Миндаль,748,30
Горох (лущеный),731,29
Сливки сухие 42,726,29
Инжир,710,28
Желуди сушёные,709,28
Чечевица (зерно),672,27
Арахис,658,26
Семена подсолнечника (семечки),647,26
Кресс-салат (зелень),606,24
Кедровый орех,597,24
Мука гречневая,577,23
Картофель,568,23
Отруби овсяные,566,23
Кешью,553,22
Грибы шампиньоны,530,21
Кинза (зелень),521,21
Щавель (зелень),500,20
Кунжут,497,20
Авокадо,485,19
Грецкий орех,474,19
Грибы белые,468,19
Шоколад молочный,462,18
Ячмень (зерно),453,18
Грибы лисички,450,18
Яичный порошок,448,18
Фундук,445,18
Грибы подберёзовики,443,18
Дуриан,436,17
Сельдерей (зелень),430,17
Рожь (зерно),424,17
Овёс (зерно),421,17
Гриб вешенка,420,17
Лосось атлантический (сёмга),420,17
Минтай,420,17
Имбирь (корень),415,17
Гриб сморчок,411,16
Грибы подосиновики,404,16
Грибы опята,400,16
Колбаса сервелат,400,16
Колбаса московская (копчёная),399,16
Листья одуванчика (зелень),397,16
Мука ржаная обойная,396,16
Сельдерей (корень),393,16
Килька балтийская,380,15
Крупа гречневая (ядрица),380,15
Молоко сгущённое с сахаром 5,380,15
Молоко сгущённое с сахаром нежирное,380,15
Капуста брюссельская,375,15
Капуста кольраби,370,15
Папоротник,370,15
Финики,370,15
Молоко сгущённое с сахаром 8.5,365,15
Колбаса брауншвейгская,364,15
Персик,363,15
Шоколад горький,363,15
Крупа овсяная,362,14
Мука овсяная (толокно),351,14
Халва подсолнечная,351,14
Килька каспийская,350,14
Мука ржаная обдирная,350,14
Смородина чёрная,350,14
Ставрида,350,14
Тунец,350,14
Шпроты в масле (консервы),350,14
Банан,348,14
Треска,340,14
Пшеница (зерно мягкий сорт),337,13
Горбуша,335,13
Кета,335,13
Мясо (кролик),335,13
Укроп (зелень),335,13
Сливки сгущённые с сахаром 19,334,13
Хлопья овсяные "Геркулес",330,13
Мясо (говядина),326,13
Гречиха (зерно),325,13
Пшеница (зерно твердый сорт),325,13
Ревень (зелень),325,13
Ананас,321,13
Камбала,320,13
Крупа гречневая (продел),320,13
Капуста брокколи,316,13
Колбаски охотничьи,316,13
Рис (зерно),314,13
Гриб рыжик,310,12
Мидии,310,12
Мука пшеничная обойная,310,12
Сельдь жирная,310,12
Абрикос,305,12
Грибы шиитаке,304,12
Капуста краснокочанная,302,12
Капуста белокочанная,300,12
Киви,300,12
Окунь морской,300,12
Базилик (зелень),295,12
Мойва,290,12
Помидор (томат),290,12
Свекла,288,12
Горох зелёный (свежий),285,11
Мясо (свинина мясная),285,11
Тушёнка (консервы),284,11
Колбаса говяжья (варёная),281,11
Кальмар,280,11
Мука овсяная,280,11
Окунь речной,280,11
Сазан,280,11
Скумбрия,280,11
Судак,280,11
Яблоки,278,11
Печень говяжья,277,11
Смородина красная,275,11
Кукуруза сладкая,270,11
Мясо (баранина),270,11
Смородина белая,270,11
Грибы сыроежки,269,11
Лещ,265,11
Горбуша натуральная (консервы),260,10
Крыжовник,260,10
Фасоль (стручковая),260,10
Чеснок,260,10
Щука,260,10
Лук зелёный (перо),259,10
Вишня,256,10
Редис,255,10
Мука пшеничная 2 сорта,251,10
Колбаса молочная,250,10
Рак речной,250,10
Сок капустный,250,10
