Номер	Банк	Номер2	Номер3	Номер4
1	Сбербанк России	23 477 658 406	22 606 604 681	+3,85%
2	ВТБ Банк Москвы	9 335 743 708	9 959 296 564	−6,26%
3	Газпромбанк	5 487 313 311	5 267 761 099	+4,17%
4	ВТБ 24	3 678 862 129	3 207 540 431	+14,69%
5	Россельхозбанк	3 084 821 548	2 760 244 338	+11,76%
6	Национальный Клиринговый Центр	2 899 630 763	2 039 319 172	+42,19%
7	Альфа-Банк	2 659 535 433	2 341 836 861	+13,57%
8	Банк «ФК Открытие»	2 109 056 129	2 951 554 494	−28,54%
9	Московский Кредитный Банк	1 846 375 227	1 363 786 529	+35,39%
10	Промсвязьбанк	1 347 154 328	1 311 290 450	+2,74%
11	Бинбанк	1 275 671 001	1 182 581 108	+7,87%
12	ЮниКредит Банк	1 137 526 567	1 283 127 686	−11,35%
13	Райффайзенбанк	848 732 934	833 285 400	+1,85%
14	Росбанк	841 439 262	783 690 300	+7,37%
15	Рост Банк	823 998 252	611 694 091	+34,71%
16	Россия	774 606 724	736 708 248	+5,14%
17	Совкомбанк	684 836 850	501 337 175	+36,60%
18	БМ-Банк (бывш. Банк Москвы)	614 043 185	680 300 659	−9,74%
19	Национальный Банк «Траст»	609 920 753	396 047 719	+54,00%
20	Банк «Санкт-Петербург»	608 544 615	580 771 247	+4,78%
21	Банк Уралсиб	537 172 435	436 072 633	+23,18%
22	Московский Областной Банк	523 416 882	477 001 913	+9,73%
23	Ситибанк	505 717 632	425 469 053	+18,86%
24	Ак Барс	451 102 567	468 132 840	−3,64%
25	Русский Стандарт	389 401 184	433 714 418	−10,22%
26	Всероссийский Банк Развития Регионов	384 941 982	256 229 769	+50,23%
27	СМП Банк	356 680 946	354 376 916	+0,65%
28	Российский Капитал	333 332 284	301 193 045	+10,67%
29	Уральский Банк Реконструкции и Развития	330 868 465	401 873 113	−17,67%
30	Восточный Банк	278 427 140	190 015 493	+46,53%
