fruit_label	fruit_name	mass	width	height	color_score
4	lemon	200	4.5	10	50
4	lemon	206	5	8	?
4	lemon	208	4.5	8	51
4	lemon	242	?	?	52
4	lemon	210	7	9	44
4	lemon	222	7.5	10	50
4	lemon	228	7	10	46
4	lemon	204	6	7	51
4	lemon	198	6	9	57
4	lemon	212	6.5	10	49
4	lemon	138	5	6.5	41
4	lemon	226	7	9	44
4	lemon	208	6.5	10	43
4	lemon	174	6.5	8	51
4	lemon	198	6	8.5	48
3	orange	262	7	8	27
3	orange	268	6.5	8	30
3	orange	256	7.5	9	42
3	orange	262	7.5	8	36
3	orange	230	7	7.5	47
3	orange	256	7.2	7.5	35
3	orange	240	6.5	8	30
3	orange	258	7.5	8	31
3	orange	254	7	8	32
3	orange	266	8	9	49
3	orange	252	7.5	7	40
3	orange	242	7	6.5	48
3	orange	232	7	7.5	35
3	orange	240	7.5	8	38
3	orange	240	7	7	57
2	mandarin	146	6.5	6	29
2	mandarin	154	6.5	6	35
2	mandarin	148	6.5	6.5	34
2	mandarin	150	6	6.5	27
2	mandarin	148	6	6	?
2	mandarin	148	6.5	6.5	?
2	mandarin	152	6	6	?
2	mandarin	150	6	6.5	24
2	mandarin	154	6.5	6.5	31
2	mandarin	154	7	7	42
2	mandarin	154	6.5	6.5	27
2	mandarin	150	6	6	19
2	mandarin	144	6	6	26
2	mandarin	150	6	5.5	27
2	mandarin	150	6.5	6.5	18
1	apple	288	8	8	52
1	apple	260	8	7.5	46
1	apple	218	7	7	46
1	apple	142	6	6	?
1	apple	316	9	8.5	49
1	apple	148	6	6.5	60
1	apple	198	7	7	64
1	apple	120	5.5	6	47
1	apple	148	6	7	46
1	apple	196	7	6.5	58
1	apple	164	6	8	49
1	apple	142	6	6.5	61
1	apple	262	8	7.5	50
1	apple	172	6.5	7.5	55
1	apple	154	6.5	7.5	60
